feature,importance,method
Title_Mr,0.5491991849030071,absolute_pearson_correlation
Sex_female,0.5433513806577546,absolute_pearson_correlation
Sex_male,0.5433513806577546,absolute_pearson_correlation
Title_Mrs,0.3419937262857555,absolute_pearson_correlation
Pclass,0.3384810359610148,absolute_pearson_correlation
AgePclassInteraction,0.3363842095887332,absolute_pearson_correlation
Title_Miss,0.3356355207687264,absolute_pearson_correlation
LogFare,0.32190155523884745,absolute_pearson_correlation
Fare,0.31743039988773425,absolute_pearson_correlation
CabinMissing,0.31691152311229576,absolute_pearson_correlation
Deck_Unknown,0.31691152311229576,absolute_pearson_correlation
FarePerPerson,0.27039340936826484,absolute_pearson_correlation
IsAlone,0.203367085699892,absolute_pearson_correlation
Deck_B,0.1750950336504758,absolute_pearson_correlation
Embarked_C,0.16824043121823296,absolute_pearson_correlation
Deck_D,0.15071564423048261,absolute_pearson_correlation
Embarked_S,0.14968272327068574,absolute_pearson_correlation
Deck_E,0.14532144323642815,absolute_pearson_correlation
PclassFareInteraction,0.1190140954737725,absolute_pearson_correlation
AgeGroup_Child,0.11763628271102644,absolute_pearson_correlation
LogAge,0.11583657786905698,absolute_pearson_correlation
Deck_C,0.11465211543263723,absolute_pearson_correlation
AgeGroup_Adult,0.10523269089069752,absolute_pearson_correlation
AgeMissing,0.09219652324217216,absolute_pearson_correlation
Title_Master,0.08522056083929426,absolute_pearson_correlation
Parch,0.08162940708348361,absolute_pearson_correlation
Age,0.06116141160686286,absolute_pearson_correlation
AgeGroup_Teen,0.05835398861163681,absolute_pearson_correlation
Deck_F,0.05793494702080402,absolute_pearson_correlation
Title_the Countess,0.04246959464775531,absolute_pearson_correlation
AgeGroup_Senior,0.04085738551378256,absolute_pearson_correlation
SibSp,0.03532249888573557,absolute_pearson_correlation
Deck_T,0.026456468796962274,absolute_pearson_correlation
Deck_A,0.022286953811301715,absolute_pearson_correlation
Title_Rare,0.021481177959834664,absolute_pearson_correlation
FamilySize,0.01663898928274529,absolute_pearson_correlation
Deck_G,0.016040182686507188,absolute_pearson_correlation
Embarked_Q,0.0036503826839719864,absolute_pearson_correlation
